,tconst,movie_title,start_year,runtime_minutes,genres,directors,writers,release_date,production_budget,domestic_gross,worldwide_gross,year,success
27,tt0780504,Drive,2011.0,100.0,"Crime,Drama",nm0716347,"nm0024925,nm2201245",2011-09-16,15000000.0,35060689.0,81357930.0,2011,yes
28,tt0790636,Dallas Buyers Club,2013.0,117.0,"Biography,Drama",nm0885249,"nm1258965,nm2214893",2013-11-01,5000000.0,27298285.0,60611845.0,2013,yes
29,tt0790724,Jack Reacher,2012.0,130.0,"Action,Crime,Thriller",nm0003160,"nm1676193,nm0003160",2012-12-21,60000000.0,80070736.0,217370736.0,2012,yes
30,tt0800320,Clash of the Titans,2010.0,106.0,"Action,Adventure,Fantasy",nm0504642,"nm2012438,nm0006534,nm0542062,nm0189117",2010-04-01,125000000.0,163214888.0,493214888.0,2010,yes
31,tt0800369,Thor,2011.0,115.0,"Action,Adventure,Fantasy",nm0000110,"nm1005420,nm0826714,nm0668309,nm0833089,nm0698873,nm0498278,nm1293367,nm0456158",2011-05-06,150000000.0,181030624.0,449326618.0,2011,yes
32,tt0803061,Red Dog,2011.0,92.0,"Biography,Comedy,Drama",nm0826541,"nm0850044,nm0207408",2011-12-31,9100000.0,0.0,20927794.0,2011,yes
33,tt0803096,Warcraft,2016.0,123.0,"Action,Adventure,Fantasy",nm1512910,"nm0495378,nm1512910",2016-06-10,160000000.0,47225655.0,425522281.0,2016,yes
34,tt7959026,The Mule,2018.0,116.0,"Crime,Drama,Thriller",nm0000142,"nm10095627,nm1010405",2018-12-14,50000000.0,103804407.0,170857676.0,2018,yes
35,tt0808510,Tooth Fairy,2010.0,101.0,"Comedy,Family,Fantasy",nm0501185,"nm0304665,nm0541632,nm0827985,nm0893262,nm0802020,nm0682063",2010-01-22,48000000.0,60022256.0,112610386.0,2010,yes
36,tt0814255,Percy Jackson & the Olympians: The Lightning Thief,2010.0,118.0,"Adventure,Family,Fantasy",nm0001060,"nm0864471,nm2292894",2010-02-12,95000000.0,88768303.0,223050874.0,2010,yes
37,tt0815236,She's Out of My League,2010.0,104.0,"Comedy,Romance",nm1637768,"nm1890845,nm1898234",2010-03-12,20000000.0,32010860.0,48680977.0,2010,yes
38,tt0816442,The Book Thief,2013.0,131.0,"Drama,War",nm1093053,"nm2295691,nm0678104",2013-11-08,19000000.0,21488481.0,76086711.0,2013,yes
39,tt0816692,Interstellar,2014.0,169.0,"Adventure,Drama,Sci-Fi",nm0634240,"nm0634300,nm0634240",2014-11-05,165000000.0,188017894.0,666379375.0,2014,yes
40,tt0816711,World War Z,2013.0,116.0,"Action,Adventure,Horror",nm0286975,"nm1996352,nm1206844,nm0511541,nm0833089,nm0112150",2013-06-21,190000000.0,202359711.0,531514650.0,2013,yes
41,tt0817230,Valentine's Day,2010.0,125.0,"Comedy,Romance",nm0005190,"nm0297545,nm0463359,nm0799050",2010-02-12,52000000.0,110485654.0,217569328.0,2010,yes
42,tt0829150,Dracula Untold,2014.0,92.0,"Action,Drama,Fantasy",nm2411495,"nm1948885,nm2332952,nm0831290",2014-10-10,70000000.0,55991880.0,220241723.0,2014,yes
43,tt0831387,Godzilla,2014.0,123.0,"Action,Adventure,Sci-Fi",nm2284484,"nm1440919,nm1709264,nm0393094,nm0613609,nm0443227,nm0001104,nm0333060",2014-05-16,160000000.0,200676069.0,529076069.0,2014,yes
44,tt0837562,Hotel Transylvania,2012.0,91.0,"Animation,Comedy,Family",nm0850733,"nm0063165,nm0806912,nm0244110,nm1087952,nm1156984",2012-09-28,85000000.0,148313048.0,378505812.0,2012,yes
45,tt0837563,Pet Sematary,2019.0,101.0,"Horror,Mystery,Thriller","nm1556116,nm1552637","nm0000175,nm0338557,nm1161528",2019-04-05,21000000.0,54724696.0,109501146.0,2019,yes
46,tt0840361,The Town,2010.0,125.0,"Crime,Drama,Thriller",nm0000255,"nm0185976,nm0000255,nm0830760,nm2353561",2010-09-17,37000000.0,92186262.0,152566881.0,2010,yes
47,tt0842926,The Kids Are All Right,2010.0,106.0,"Comedy,Drama,Romance",nm0158966,"nm0158966,nm0089742",2010-07-09,4000000.0,20811365.0,36275469.0,2010,yes
48,tt0848228,The Avengers,2012.0,143.0,"Action,Adventure,Sci-Fi",nm0923736,"nm0923736,nm0672015",2012-05-04,225000000.0,623279547.0,1517935897.0,2012,yes
49,tt0848537,Epic,2013.0,102.0,"Adventure,Animation,Family",nm0917188,"nm0366337,nm0431622,nm0792092,nm0040022,nm0256079,nm0917188",2013-05-24,100000000.0,107518682.0,262794441.0,2013,yes
50,tt3231054,Risen,2016.0,107.0,"Action,Adventure,Drama",nm0721817,"nm0721817,nm2594149",2016-02-19,20000000.0,36880033.0,46255763.0,2016,yes
51,tt0879870,Eat Pray Love,2010.0,133.0,"Drama,Romance",nm0614682,"nm0614682,nm0759022,nm2418691",2010-08-13,60000000.0,80574010.0,206598789.0,2010,yes
52,tt0881320,Sanctum,2011.0,108.0,"Adventure,Drama,Thriller",nm0340958,"nm2510763,nm1337757",2011-02-04,30000000.0,23209310.0,108957098.0,2011,yes
53,tt0882977,Snitch,2013.0,112.0,"Action,Drama,Thriller",nm0006846,"nm1244808,nm0006846",2013-02-22,15000000.0,42930462.0,57907734.0,2013,yes
54,tt0884732,The Wedding Ringer,2015.0,101.0,Comedy,nm1275670,"nm1275670,nm1191891",2015-01-16,23000000.0,64460211.0,80171596.0,2015,yes
55,tt0889573,The Switch,2010.0,101.0,"Comedy,Drama,Romance","nm0330347,nm0817447","nm0262325,nm1615610",2010-08-20,19000000.0,27758465.0,49858465.0,2010,yes
56,tt0892318,Letters to Juliet,2010.0,105.0,"Adventure,Comedy,Drama",nm0935095,"nm1433580,nm0003201",2010-05-14,30000000.0,53032453.0,82148538.0,2010,yes
57,tt0892769,How to Train Your Dragon,2010.0,98.0,"Action,Adventure,Animation","nm0761498,nm0213450","nm0204030,nm0213450,nm0761498,nm2441763,nm0405190,nm1104057",2010-03-26,165000000.0,217581232.0,494870992.0,2010,yes
58,tt0892791,Shrek Forever After,2010.0,93.0,"Adventure,Animation,Comedy",nm0593610,"nm0825308,nm0458441,nm0501359,nm0011470,nm0254645,nm0744429,nm0776107,nm0794252,nm0830294,nm2593444",2010-05-21,165000000.0,238736787.0,756244673.0,2010,yes
59,tt0903624,The Hobbit: An Unexpected Journey,2012.0,169.0,"Adventure,Family,Fantasy",nm0001392,"nm0909638,nm0101991,nm0001392,nm0868219,nm0866058",2012-12-14,250000000.0,303003568.0,1017003568.0,2012,yes
60,tt0938283,The Last Airbender,2010.0,103.0,"Action,Adventure,Family",nm0796117,nm0796117,2010-07-01,150000000.0,131772187.0,319713881.0,2010,yes
61,tt0944835,Salt,2010.0,100.0,"Action,Mystery,Thriller",nm0637518,nm0934483,2010-07-23,130000000.0,118311368.0,290650494.0,2010,yes
62,tt0945513,Source Code,2011.0,93.0,"Action,Drama,Sci-Fi",nm1512910,nm1618286,2011-04-01,32000000.0,54712227.0,140428499.0,2011,yes
63,tt0947798,Black Swan,2010.0,108.0,"Drama,Thriller",nm0004716,"nm2114730,nm0374560,nm0572352",2010-12-03,13000000.0,106954678.0,331266710.0,2010,yes
64,tt0948470,The Amazing Spider-Man,2012.0,136.0,"Action,Adventure,Sci-Fi",nm1989536,"nm0888743,nm0765091,nm0460141,nm0498278,nm0228492",2012-07-03,220000000.0,262030663.0,757890267.0,2012,yes
65,tt0964517,The Fighter,2010.0,116.0,"Biography,Drama,Sport",nm0751102,"nm0798788,nm0848496,nm2053216,nm2565612",2010-12-10,11000000.0,93617009.0,129262388.0,2010,yes
66,tt0970866,Little Fockers,2010.0,98.0,"Comedy,Romance",nm0919369,"nm0357453,nm0836001,nm0322839,nm0164898",2010-12-22,100000000.0,148438600.0,310650574.0,2010,yes
67,tt0974015,Justice League,2017.0,120.0,"Action,Adventure,Fantasy",nm0811583,"nm0796950,nm0795975,nm0006516,nm0811583,nm0923736,nm1189346,nm0004170,nm0277730,nm0551376,nm0456158",2017-11-17,300000000.0,229024295.0,655945209.0,2017,yes
68,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010.0,113.0,"Adventure,Family,Fantasy",nm0000776,"nm1321655,nm1321656,nm0678104,nm0507000",2010-12-10,155000000.0,104386950.0,418186950.0,2010,yes
69,tt0983193,The Adventures of Tintin,2011.0,107.0,"Action,Adventure,Animation",nm0000229,"nm0378960,nm0595590,nm0942367,nm0180428",2011-12-21,130000000.0,77591831.0,373993951.0,2011,yes
70,tt0985694,Machete,2010.0,105.0,"Action,Crime,Thriller","nm0001675,nm0542450","nm0001675,nm0736155",2010-09-03,12500000.0,26593646.0,46370970.0,2010,yes
71,tt0989757,Dear John,2010.0,108.0,"Drama,Romance,War",nm0002120,"nm1956691,nm0817023",2010-02-05,25000000.0,80014842.0,142033509.0,2010,yes
72,tt0990407,The Green Hornet,2011.0,119.0,"Action,Comedy,Crime",nm0327273,"nm0736622,nm1698571,nm0872077",2011-01-14,110000000.0,98780042.0,229155503.0,2011,yes
73,tt0993842,Hanna,2011.0,111.0,"Action,Drama,Thriller",nm0942504,"nm2605946,nm1016333",2011-04-08,30000000.0,40259119.0,65343694.0,2011,yes
